,date
2136,74576
2137,74577
2138,74578
2139,74579
2140,74580
2141,74581
2142,74582
2143,74583
2144,74584
2145,74585
2146,74586
2147,74587
2148,74588
2149,74589
2150,74590
2151,74591
2152,74592
2153,74593
2154,74594
2155,74595
2156,74596
2157,74597
2158,74598
2159,74599
2160,74600
2161,74601
2162,74602
2163,74603
2164,74604
2165,74605
2166,74606
2167,74607
2168,74608
2169,74609
2170,74610
2171,74611
2172,74612
2173,74613
2174,74614
2175,74615
2176,74616
2177,74617
2178,74618
2179,74619
2180,74620
2181,74621
2182,74622
2183,74623
2184,74624
2185,74625
2186,74626
2187,74627
2188,74628
2189,74629
2190,74630
2191,74631
2192,74632
2193,74633
2194,74634
2195,74635
2196,74636
2197,74637
2198,74638
2199,74639
2200,74640
2201,74641
2202,74642
2203,74643
2204,74644
2205,74645
2206,74646
2207,74647
2208,74648
2209,74649
2210,74650
2211,74651
2212,74652
2213,74653
2214,74654
2215,74655
2216,74656
2217,74657
2218,74658
2219,74659
2220,74660
2221,74661
2222,74662
2223,74663
2224,74664
2225,74665
2226,74666
2227,74667
2228,74668
2229,74669
2230,74670
2231,74671
2232,74672
2233,74673
2234,74674
2235,74675
2236,74676
2237,74677
2238,74678
2239,74679
2240,74680
2241,74681
2242,74682
2243,74683
2244,74684
2245,74685
2246,74686
2247,74687
2248,74688
2249,74689
2250,74690
2251,74691
2252,74692
2253,74693
2254,74694
2255,74695
2256,74696
2257,74697
2258,74698
2259,74699
2260,74700
2261,74701
2262,74702
2263,74703
2264,74704
2265,74705
2266,74706
2267,74707
2268,74708
2269,74709
2270,74710
2271,74711
2272,74712
2273,74713
2274,74714
2275,74715
2276,74716
2277,74717
2278,74718
2279,74719
2280,74720
2281,74721
2282,74722
2283,74723
2284,74724
2285,74725
2286,74726
2287,74727
2288,74728
2289,74729
2290,74730
2291,74731
2292,74732
2293,74733
2294,74734
2295,74735
2296,74736
2297,74737
2298,74738
2299,74739
2300,74740
2301,74741
2302,74742
2303,74743
2304,74744
2305,74745
2306,74746
2307,74747
2308,74748
2309,74750
2310,74751
2311,74752
2312,74753
2313,74754
2314,74755
2315,74756
2316,74757
2317,74758
2318,74759
2319,74760
2320,74761
2321,74762
2322,74763
2323,74764
2324,74765
2325,74766
2326,74767
2327,74768
2328,74769
2329,74770
2330,74771
2331,74772
2332,74773
2333,74774
2334,74775
2335,74776
2336,74777
2337,74778
2338,74779
2339,74780
2340,74781
2341,74782
2342,74783
2343,74784
2344,74785
2345,74786
2346,74787
2347,74788
2348,74789
2349,74790
2350,74791
2351,74792
2352,74793
2353,74794
2354,74795
2355,74796
2356,74797
2357,74798
2358,74799
2359,74800
2360,74801
2361,74802
2362,74803
2363,74804
2364,74805
2365,74806
2366,74807
2367,74808
2368,74809
2369,74810
2370,74811
2371,74812
2372,74813
2373,74814
2374,74815
2375,74816
2376,74817
2377,74818
2378,74819
2379,74820
2380,74821
2381,74822
2382,74823
2383,74824
2384,74825
2385,74826
2386,74827
2387,74828
2388,74829
2389,74830
2390,74831
2391,74832
2392,74833
2393,74834
2394,74835
